,freeforms
Introspection,7
Explicit Sexual Content,4
POV Julian Bashir,4
Self-Esteem Issues,3
Rough Sex,2
Complicated Relationships,2
Romantic Fluff,2
Genetic Engineering,2
Masturbation,2
POV Elim Garak,2
Holodecks/Holosuites,1
Reader-Insert,1
Omorashi,1
Pee,1
Wetting,1
Awkward Boners,1
Embarrassment,1
First Time,1
Odo Being Awkward,1
Sexual Fantasy,1
Dubious Consent,1
Underage Rape/Non-con,1
Child Abuse,1
Sexual Slavery,1
Cardassian Anatomy,1
Prostitution,1
Lolicon,1
oblivious to love,1
Garak naked and aroused,1
alien male sex organ,1
on his back on the bed,1
prUt everted from ajan,1
Garak feels good,1
(I’m Still Me),1
Slight denial of feelings,1
Gentle Sex,1
Cardassian flirting,1
Implied that Garak knows about Julian’s Enhancements,1
Light Angst,1
Mostly That In fact,1
Post-Episode: s02e22 The Wire,1
slightly rough sex,1
Angst,1
Complicated Emotions,1
Unreliable Narrator,1
Angst and Feels,1
Light Smut,1
Fluff,1
Somewhat Failed Attempt at Denying Feelings,1
Foreplay,1
Light Dom/sub,1
Emotional Sex,1
Feelings Realization,1
Literary References & Allusions,1
Post-Episode: s03e01-e02 The Search,1
Banter,1
Angst and Fluff,1
Episode: s06e23 Profit and Lace,1
